,nature_score
0,12.584810256958008
1,18.573549270629883
2,16.8098201751709
3,14.078409194946289
4,14.949460983276367
5,18.140151977539062
6,16.136962890625
7,14.644808769226074
8,17.371192932128906
9,18.609025955200195
10,15.047819137573242
11,16.88671112060547
12,14.137560844421387
13,17.615690231323242
14,20.08945083618164
15,12.760004997253418
16,14.786031723022461
17,20.173376083374023
18,19.97142219543457
19,15.857168197631836
20,17.767847061157227
21,14.422035217285156
22,14.347952842712402
23,18.865690231323242
24,17.654266357421875
25,19.341493606567383
26,19.387548446655273
27,15.74196720123291
28,18.262107849121094
29,16.33043670654297
30,17.154804229736328
31,16.48065948486328
32,17.070615768432617
33,19.397092819213867
34,16.1878662109375
35,12.005544662475586
36,17.88845443725586
37,19.254913330078125
38,17.64712142944336
39,8.789077758789062
40,19.150848388671875
41,13.572410583496094
42,13.26557731628418
43,16.46649742126465
44,16.644506454467773
45,17.997623443603516
46,16.579683303833008
47,11.54458999633789
48,19.036699295043945
49,18.384639739990234
50,15.118265151977539
51,17.252309799194336
52,15.581892013549805
53,14.222284317016602
54,16.671491622924805
55,15.636272430419922
56,19.007600784301758
57,20.57232093811035
58,12.731730461120605
59,14.292465209960938
60,12.329404830932617
61,13.893816947937012
62,15.246638298034668
63,13.687031745910645
64,15.269270896911621
65,16.222217559814453
66,18.617429733276367
67,13.647675514221191
68,16.192771911621094
69,17.478639602661133
70,18.77509307861328
71,19.349824905395508
72,18.24286460876465
73,14.922183990478516
74,14.51372241973877
75,14.654243469238281
76,14.935221672058105
77,15.240264892578125
78,16.879533767700195
79,20.099592208862305
80,16.807247161865234
81,20.64320945739746
82,14.63156509399414
83,19.358997344970703
84,19.98084831237793
85,14.160234451293945
86,17.745073318481445
87,18.455556869506836
88,19.27081871032715
89,16.943897247314453
90,17.20186424255371
91,17.426809310913086
92,13.436927795410156
93,17.169456481933594
94,14.367416381835938
95,14.061996459960938
96,14.940357208251953
97,17.01833724975586
98,14.96338176727295
99,17.54464340209961
100,21.538848876953125
101,14.06655502319336
102,16.977834701538086
103,14.02320384979248
104,15.328032493591309
105,19.632719039916992
106,16.516279220581055
107,13.557832717895508
108,19.55332374572754
109,20.490999221801758
110,17.469310760498047
111,18.795124053955078
112,16.312911987304688
113,16.288105010986328
114,18.2963809967041
115,14.122295379638672
116,20.477392196655273
117,15.139968872070312
118,17.8630313873291
119,19.982868194580078
120,11.79120922088623
121,13.952666282653809
122,18.096454620361328
123,18.131929397583008
124,15.64108657836914
125,16.2191219329834
126,14.317377090454102
127,16.516321182250977
128,15.758427619934082
129,16.365108489990234
130,16.27427864074707
131,20.129823684692383
132,16.272951126098633
133,14.257003784179688
134,16.276865005493164
135,18.799081802368164
136,13.237165451049805
137,20.36253547668457
138,17.595687866210938
139,18.073659896850586
140,13.594013214111328
141,19.520423889160156
142,17.807165145874023
143,17.388879776000977
144,16.31389808654785
145,16.686893463134766
146,16.87403106689453
147,10.752641677856445
148,18.69626808166504
149,17.117372512817383
150,18.18928337097168
151,17.945533752441406
152,17.078645706176758
153,15.542228698730469
154,19.3405818939209
155,16.596277236938477
156,18.158098220825195
157,15.009509086608887
158,16.53895378112793
159,17.97637367248535
160,14.354267120361328
161,17.051761627197266
162,16.274805068969727
163,13.967917442321777
164,18.300996780395508
165,20.0334415435791
166,16.847261428833008
167,18.894996643066406
168,14.93662166595459
169,15.681785583496094
170,16.17803382873535
171,18.60408592224121
172,15.034651756286621
173,15.065032958984375
174,15.667569160461426
175,15.604255676269531
176,17.20189094543457
177,19.39061164855957
178,15.438457489013672
179,16.078750610351562
180,17.22264289855957
181,15.455229759216309
182,15.155013084411621
183,13.930807113647461
184,14.684179306030273
185,19.906597137451172
186,17.74290657043457
187,13.221153259277344
188,17.55596351623535
189,19.126728057861328
190,18.033483505249023
191,17.211427688598633
192,18.444761276245117
193,16.046483993530273
194,17.71517562866211
195,14.685503005981445
196,16.1259765625
