,nature_score
0,8.574857711791992
1,3.5056917667388916
2,8.718486785888672
3,9.541622161865234
4,9.107593536376953
5,8.828472137451172
6,9.046424865722656
7,5.258816242218018
8,10.035308837890625
9,8.586030960083008
10,9.133898735046387
11,8.934490203857422
12,8.60659122467041
13,8.863102912902832
14,9.116244316101074
15,9.10057544708252
16,8.587881088256836
17,8.700775146484375
18,8.803849220275879
19,8.849027633666992
20,8.535872459411621
21,8.859696388244629
22,8.67749309539795
23,8.89417839050293
24,8.352804183959961
25,8.630002975463867
26,8.960289001464844
27,9.000371932983398
28,8.312009811401367
29,9.099624633789062
30,9.120097160339355
31,8.798861503601074
32,8.973395347595215
33,8.650423049926758
34,9.13743782043457
35,8.879833221435547
36,9.174086570739746
37,8.85814380645752
38,8.988480567932129
39,8.841248512268066
40,8.946111679077148
41,8.917258262634277
42,8.267759323120117
43,8.833879470825195
44,8.652379989624023
45,8.779046058654785
46,9.081539154052734
47,8.743758201599121
48,8.787103652954102
49,9.045055389404297
50,8.611401557922363
51,8.986225128173828
52,9.033207893371582
53,8.699300765991211
54,8.535045623779297
55,8.856380462646484
56,8.659502029418945
57,9.222453117370605
58,8.936206817626953
59,8.786418914794922
60,9.105175971984863
61,8.832881927490234
62,9.009225845336914
63,8.848186492919922
64,9.103498458862305
65,9.777107238769531
66,9.019722938537598
67,8.860743522644043
68,8.836633682250977
69,8.958874702453613
70,8.593116760253906
71,8.77640151977539
72,8.097972869873047
73,8.850863456726074
74,8.199565887451172
75,9.027363777160645
76,9.025480270385742
77,8.97026538848877
78,8.726919174194336
79,7.727104187011719
80,8.853041648864746
81,8.751541137695312
82,9.235587120056152
83,9.202832221984863
84,8.106317520141602
85,9.059568405151367
86,9.189250946044922
87,9.188417434692383
88,7.906942367553711
89,8.881794929504395
90,8.92175006866455
91,8.787322044372559
92,8.984477996826172
93,8.934026718139648
94,9.05936050415039
95,8.704301834106445
96,9.154256820678711
97,9.719855308532715
98,9.218576431274414
99,8.986089706420898
100,8.896282196044922
101,10.083269119262695
102,8.568788528442383
103,9.506105422973633
104,8.812609672546387
105,8.973419189453125
106,9.261587142944336
107,8.933124542236328
108,9.051863670349121
109,9.74429988861084
110,8.509693145751953
111,8.819177627563477
112,9.302112579345703
113,9.108613967895508
114,9.842342376708984
115,8.424896240234375
116,10.213296890258789
117,8.874095916748047
118,8.770597457885742
119,8.81701374053955
120,9.055493354797363
121,8.60172176361084
122,8.631839752197266
123,9.21279525756836
124,8.99676513671875
125,9.066997528076172
126,9.007649421691895
127,8.843936920166016
128,8.892662048339844
129,8.584368705749512
130,7.783963203430176
131,8.714649200439453
132,9.192109107971191
133,8.617910385131836
134,9.265761375427246
135,8.846097946166992
136,8.7886962890625
137,9.272343635559082
138,8.10137939453125
139,8.507014274597168
140,9.520532608032227
141,9.055229187011719
142,9.039961814880371
143,8.87529468536377
144,9.572942733764648
145,9.114225387573242
146,10.664159774780273
147,8.990260124206543
148,8.957646369934082
149,9.243279457092285
150,10.135727882385254
151,-0.3085629940032959
152,8.26587200164795
153,9.129205703735352
154,7.685196399688721
155,8.65489673614502
156,9.000371932983398
157,8.813272476196289
158,8.97172737121582
159,8.753458023071289
160,8.263545036315918
161,5.162239074707031
162,9.183027267456055
163,7.7566375732421875
164,8.248968124389648
165,8.359136581420898
166,9.078313827514648
167,8.962177276611328
168,8.969907760620117
169,8.720815658569336
170,8.987380027770996
171,9.057185173034668
172,8.748796463012695
173,8.76064682006836
174,8.873064041137695
175,9.036248207092285
176,8.997882843017578
177,9.049726486206055
178,8.96639633178711
179,9.104044914245605
180,9.3117036819458
181,9.130992889404297
182,8.699187278747559
183,9.158133506774902
184,9.335347175598145
185,9.049240112304688
186,9.242918968200684
187,6.173092365264893
188,8.836479187011719
189,9.111842155456543
190,9.034584999084473
191,8.962273597717285
192,8.525136947631836
193,8.907550811767578
194,9.82815170288086
195,8.865663528442383
196,9.394493103027344
197,9.03523063659668
198,8.887636184692383
199,9.082438468933105
200,8.32111930847168
201,8.99212646484375
202,8.89907455444336
203,8.496634483337402
204,9.02222728729248
205,9.148130416870117
206,8.897485733032227
207,8.946884155273438
208,9.170814514160156
209,9.018943786621094
210,8.957109451293945
211,8.666181564331055
212,8.99473762512207
213,6.360713005065918
214,8.600217819213867
215,8.349392890930176
216,10.067002296447754
217,8.832048416137695
218,8.9834623336792
219,9.532628059387207
220,8.759634017944336
221,8.52418327331543
222,8.895801544189453
223,8.863731384277344
224,8.781862258911133
225,9.488245010375977
226,8.968510627746582
227,8.606758117675781
228,8.912384033203125
229,9.772916793823242
230,7.453629016876221
231,9.085208892822266
232,9.060964584350586
233,8.809120178222656
234,8.767433166503906
235,9.954946517944336
236,8.96422004699707
237,8.906059265136719
238,8.98424243927002
239,8.743298530578613
240,9.086122512817383
241,8.878471374511719
242,8.675338745117188
243,8.788675308227539
244,9.052067756652832
245,8.950453758239746
246,8.628596305847168
247,2.41696834564209
248,9.964635848999023
249,9.20804500579834
250,8.855770111083984
251,8.959247589111328
252,8.772733688354492
253,9.109042167663574
254,8.984713554382324
255,9.15134334564209
256,8.868366241455078
257,9.026115417480469
258,9.5985689163208
259,8.689828872680664
260,5.3424296379089355
261,8.816238403320312
262,8.625261306762695
263,8.78483772277832
264,8.990570068359375
265,9.125489234924316
266,8.910099983215332
267,9.225301742553711
268,9.07612419128418
269,9.171736717224121
270,8.433416366577148
271,8.999987602233887
272,8.751327514648438
273,9.093133926391602
274,8.896507263183594
275,8.807147026062012
276,9.401330947875977
277,4.3870391845703125
278,8.848647117614746
279,8.836860656738281
280,9.107542037963867
281,9.62152099609375
282,8.590978622436523
283,8.90605354309082
284,9.089799880981445
285,8.851946830749512
286,8.639471054077148
287,8.286452293395996
288,8.998437881469727
289,7.75357723236084
290,9.160902976989746
291,8.888978004455566
292,8.28597354888916
293,6.393921852111816
294,9.294281005859375
295,8.879281997680664
296,9.004289627075195
297,8.439199447631836
298,9.304180145263672
299,9.112051963806152
300,7.423011779785156
301,9.047657012939453
302,9.061769485473633
303,8.151636123657227
304,8.943622589111328
305,9.23969841003418
306,8.535225868225098
307,9.196600914001465
308,8.799436569213867
309,8.890836715698242
310,9.120855331420898
311,8.775801658630371
312,8.75744342803955
313,8.952291488647461
314,8.990033149719238
315,8.997034072875977
316,8.52499008178711
317,9.032639503479004
318,9.005684852600098
319,8.895514488220215
320,9.372442245483398
321,8.463875770568848
322,8.832064628601074
323,8.835140228271484
324,8.139519691467285
325,8.961416244506836
326,8.851140022277832
327,8.926481246948242
328,8.810112953186035
329,8.723005294799805
330,9.130437850952148
331,8.740446090698242
332,8.87187385559082
333,7.069882392883301
334,8.794321060180664
335,8.872036933898926
336,9.035685539245605
337,9.05713176727295
338,8.846017837524414
339,8.922134399414062
340,8.532114028930664
341,9.532578468322754
342,8.865965843200684
343,9.063334465026855
344,8.495637893676758
345,9.159663200378418
346,9.365177154541016
347,9.118261337280273
348,8.483514785766602
349,7.798027038574219
350,8.999371528625488
351,6.638034820556641
352,9.135030746459961
353,9.058380126953125
354,9.18625545501709
355,8.710485458374023
356,8.979717254638672
357,9.356134414672852
358,9.018446922302246
359,8.54936408996582
