,nature_scores
0,21.18338966369629
1,17.864242553710938
2,8.905608177185059
3,36.437652587890625
4,16.09113311767578
5,18.55308723449707
6,27.779027938842773
7,16.814552307128906
8,27.82077980041504
9,12.271027565002441
10,24.602684020996094
11,13.36472225189209
12,4.488739967346191
13,10.225669860839844
14,13.131113052368164
15,7.449469566345215
16,11.286410331726074
17,6.463380813598633
18,6.325554370880127
19,26.2759952545166
20,28.516117095947266
21,24.635347366333008
22,34.018890380859375
23,31.61296272277832
24,15.796141624450684
25,15.426023483276367
26,9.12236499786377
27,25.6855525970459
28,14.80057430267334
29,13.41796875
30,29.530542373657227
31,26.88715934753418
32,17.702505111694336
33,17.55759048461914
34,13.111651420593262
35,33.1964111328125
36,6.348788261413574
37,21.395763397216797
38,15.776925086975098
39,24.431604385375977
40,8.939066886901855
41,17.613801956176758
42,10.396790504455566
43,17.656986236572266
44,12.697821617126465
45,13.490074157714844
46,15.709553718566895
47,45.27443313598633
48,26.33542823791504
49,21.78839683532715
50,8.160103797912598
51,12.164273262023926
52,23.353639602661133
53,12.906312942504883
54,11.54250431060791
55,14.96640396118164
56,12.912979125976562
57,8.377236366271973
58,23.534940719604492
59,34.96612548828125
60,21.01454734802246
61,21.928598403930664
62,9.20048713684082
63,18.72389030456543
64,7.506494045257568
65,1.744145393371582
66,12.321318626403809
67,17.56284523010254
68,10.585000038146973
69,21.355154037475586
70,7.640832901000977
71,8.888699531555176
72,22.675724029541016
73,6.961097717285156
74,18.85529136657715
75,22.71676254272461
76,21.432044982910156
77,19.363201141357422
78,8.143170356750488
79,10.20516586303711
80,36.170570373535156
81,4.882532119750977
82,12.753097534179688
83,9.67980670928955
84,15.393736839294434
85,19.455156326293945
86,18.757122039794922
87,17.824277877807617
88,19.752098083496094
89,14.394318580627441
90,23.81045150756836
91,5.89185905456543
92,9.481671333312988
93,15.889158248901367
94,23.479515075683594
95,22.939485549926758
96,15.12397289276123
97,32.253517150878906
98,15.304951667785645
99,19.994516372680664
100,13.568793296813965
101,16.258647918701172
102,15.820133209228516
103,8.87097454071045
104,5.306437969207764
105,11.829842567443848
106,15.022638320922852
107,28.6153507232666
108,43.48583221435547
109,16.517637252807617
110,18.76222038269043
111,29.25248908996582
112,22.325891494750977
113,8.259814262390137
114,20.816492080688477
115,14.596736907958984
116,13.482162475585938
117,30.71187400817871
118,23.045717239379883
119,26.223669052124023
120,30.1119327545166
121,22.344419479370117
122,16.833749771118164
123,20.508197784423828
124,13.35910701751709
125,28.53013801574707
126,32.9002685546875
127,7.616450309753418
128,7.110291004180908
129,8.835240364074707
130,8.407736778259277
131,8.878390312194824
132,16.52065086364746
133,14.133187294006348
134,14.524230003356934
135,22.103490829467773
136,34.354530334472656
137,27.44597053527832
138,18.413894653320312
139,19.01214027404785
140,18.460662841796875
141,25.211091995239258
142,15.6881742477417
143,27.600969314575195
144,33.24200439453125
145,28.370630264282227
146,25.90443229675293
147,20.734024047851562
148,26.555259704589844
149,28.544599533081055
150,20.858694076538086
151,11.801820755004883
152,25.326801300048828
153,9.882872581481934
154,19.696741104125977
155,20.4346923828125
156,28.034801483154297
157,22.368919372558594
158,11.904319763183594
159,8.006133079528809
160,9.471696853637695
161,7.6317949295043945
162,11.847066879272461
163,8.900925636291504
164,31.89613151550293
165,38.36652374267578
166,12.409595489501953
167,18.21608543395996
168,18.895566940307617
169,11.544285774230957
170,13.940154075622559
171,16.051929473876953
172,11.458107948303223
173,23.85515785217285
174,28.45655059814453
175,20.040876388549805
176,29.42155647277832
177,14.031208038330078
178,35.75206756591797
179,33.16254806518555
180,10.176871299743652
181,31.18718910217285
182,20.4709529876709
183,15.299225807189941
184,9.313802719116211
185,24.660974502563477
186,15.700428009033203
187,20.480457305908203
188,10.144246101379395
189,21.091978073120117
190,24.023874282836914
191,30.246809005737305
192,23.67977523803711
193,10.727635383605957
194,24.24886131286621
195,19.11522102355957
196,17.503660202026367
197,15.792473793029785
198,10.555456161499023
199,9.540696144104004
200,31.188814163208008
201,11.034229278564453
202,21.18682861328125
203,20.40744400024414
204,6.876457214355469
205,35.19548797607422
206,30.085397720336914
207,32.06024169921875
208,10.944622039794922
209,20.85597038269043
210,17.97182273864746
211,20.10083770751953
212,16.113618850708008
213,5.305272102355957
214,24.11233901977539
215,13.244120597839355
216,26.71670150756836
217,27.531803131103516
218,28.746084213256836
219,13.991835594177246
220,30.157472610473633
221,15.35749340057373
222,20.101633071899414
223,24.318788528442383
224,16.412385940551758
225,10.451277732849121
226,19.6101131439209
227,28.325519561767578
228,10.267484664916992
229,45.27058792114258
230,38.5234375
231,28.518850326538086
232,13.42919921875
233,24.345670700073242
234,9.665637016296387
235,18.70637321472168
236,51.251953125
237,22.031360626220703
238,27.16971778869629
239,11.256538391113281
240,10.706835746765137
241,28.360076904296875
242,22.12575912475586
243,7.511075496673584
244,11.494702339172363
245,8.250326156616211
246,11.337103843688965
247,23.781124114990234
248,10.379653930664062
249,11.47193431854248
250,20.06108283996582
251,29.18046760559082
252,19.764158248901367
253,12.682382583618164
254,36.10468673706055
255,17.53403663635254
256,17.20621109008789
257,22.22340965270996
258,21.476011276245117
259,10.29489803314209
260,9.393080711364746
261,29.402202606201172
262,12.019906997680664
263,16.885906219482422
264,25.374370574951172
265,23.678998947143555
266,22.958593368530273
267,30.60896110534668
268,7.425235748291016
269,11.702138900756836
270,14.654631614685059
271,8.448433876037598
272,8.508169174194336
273,16.841943740844727
274,22.270336151123047
275,7.253846168518066
276,27.031583786010742
277,23.83905601501465
278,6.395943641662598
279,28.048742294311523
280,10.480112075805664
281,8.499178886413574
282,25.81572723388672
283,12.540274620056152
284,12.208669662475586
285,31.310503005981445
286,25.789833068847656
287,14.945880889892578
288,16.722705841064453
289,9.713598251342773
290,22.214614868164062
291,30.7901668548584
292,12.637381553649902
293,14.288775444030762
294,15.01838207244873
295,7.575572967529297
296,24.965463638305664
297,11.5487642288208
298,9.97313404083252
299,15.388337135314941
300,28.49288558959961
301,35.4633903503418
302,28.69026756286621
303,7.7776641845703125
304,11.853846549987793
305,23.912954330444336
306,4.18848991394043
307,38.9313850402832
308,19.913530349731445
309,23.895801544189453
310,26.682729721069336
311,29.855573654174805
312,10.882844924926758
313,27.842235565185547
314,9.500714302062988
315,19.072032928466797
316,25.17595863342285
317,20.484214782714844
318,14.055500030517578
319,28.58382225036621
320,35.51676559448242
321,35.069374084472656
322,34.63478469848633
323,16.182775497436523
324,8.870295524597168
325,8.12291431427002
326,20.63172721862793
327,7.236808776855469
328,27.62624168395996
329,24.19141387939453
330,17.972261428833008
331,19.357637405395508
332,16.14812469482422
333,29.333736419677734
334,8.32519817352295
335,9.094186782836914
336,17.15605354309082
337,12.648741722106934
338,8.482945442199707
339,22.768402099609375
340,19.15840721130371
341,26.351850509643555
342,27.96786880493164
343,20.624183654785156
344,15.8851957321167
345,17.215499877929688
346,16.61082649230957
347,9.730940818786621
348,17.170190811157227
349,15.932256698608398
350,10.473459243774414
351,12.546009063720703
352,12.132743835449219
353,20.053558349609375
354,14.05699634552002
355,22.213626861572266
356,19.290416717529297
357,35.78734588623047
358,22.93364143371582
359,23.41541862487793
360,4.841728687286377
361,34.05827713012695
362,12.703490257263184
363,15.271256446838379
364,7.522420883178711
365,27.04881477355957
366,32.02311706542969
367,8.097647666931152
368,3.5279622077941895
369,15.847789764404297
370,15.828791618347168
371,8.009577751159668
372,13.367827415466309
373,31.36370277404785
374,34.997013092041016
375,9.591574668884277
376,20.45892906188965
377,9.176036834716797
378,18.211034774780273
379,25.695940017700195
380,5.908952713012695
381,34.74108123779297
382,18.936607360839844
383,17.197959899902344
384,32.35283279418945
385,18.71973991394043
386,17.275388717651367
387,12.229708671569824
388,20.62978172302246
389,14.729376792907715
390,26.274354934692383
391,17.550392150878906
392,25.458709716796875
393,37.70426940917969
394,23.825786590576172
395,17.743389129638672
396,34.55162048339844
397,21.523298263549805
398,14.05265998840332
399,19.933635711669922
400,28.791658401489258
