,nature_scores
0,12.61050033569336
1,3.1322476863861084
2,18.81540298461914
3,15.771952629089355
4,17.82565689086914
5,25.74294090270996
6,14.525120735168457
7,3.453199863433838
8,6.66696834564209
9,11.975895881652832
10,23.37126350402832
11,26.232942581176758
12,14.126770973205566
13,15.64278507232666
14,27.374608993530273
15,15.494549751281738
16,5.238256931304932
17,20.457090377807617
18,11.388718605041504
19,13.954306602478027
20,14.422224044799805
21,16.11402702331543
22,7.179612636566162
23,20.197080612182617
24,8.008957862854004
25,15.79834270477295
26,20.370962142944336
27,9.852716445922852
28,18.90116310119629
29,11.662199974060059
30,31.64490509033203
31,16.056900024414062
32,19.846351623535156
33,21.006061553955078
34,18.926441192626953
35,18.530681610107422
36,10.246716499328613
37,29.564157485961914
38,16.25747299194336
39,18.745189666748047
40,24.318077087402344
41,16.074399948120117
42,19.968996047973633
43,7.131156921386719
44,23.876956939697266
45,21.11615562438965
46,17.046009063720703
47,12.52031135559082
48,9.72914981842041
49,5.450253009796143
50,12.711512565612793
51,5.900444030761719
52,11.874138832092285
53,17.79388427734375
54,15.185453414916992
55,21.436769485473633
56,29.094440460205078
57,24.020092010498047
58,11.654890060424805
59,28.957120895385742
60,32.12228012084961
61,24.614044189453125
62,8.4541597366333
63,22.139892578125
64,29.225229263305664
65,12.812228202819824
66,8.13965892791748
67,25.768390655517578
68,12.596474647521973
69,19.211130142211914
70,22.626928329467773
71,12.472458839416504
72,16.34588050842285
73,13.008742332458496
74,9.359861373901367
75,24.25309181213379
76,7.231400966644287
77,23.684663772583008
78,13.23523235321045
79,16.688106536865234
80,13.432696342468262
81,19.778654098510742
82,25.7999267578125
83,23.7725887298584
84,18.15422821044922
85,15.587606430053711
86,25.527631759643555
87,19.893428802490234
88,14.579691886901855
89,20.620040893554688
90,20.638957977294922
91,23.748151779174805
92,21.329694747924805
93,13.042108535766602
94,16.8254451751709
95,19.375774383544922
96,20.94386100769043
97,4.567736625671387
98,13.01114559173584
99,14.404335021972656
100,18.477109909057617
101,6.199919700622559
102,22.41103172302246
103,10.158058166503906
104,5.727609157562256
105,17.604793548583984
106,14.828644752502441
107,21.238130569458008
108,11.734285354614258
109,6.2565717697143555
110,14.405362129211426
111,16.47365379333496
112,11.105871200561523
113,13.065788269042969
114,21.856578826904297
115,19.30743408203125
116,26.950685501098633
117,24.153793334960938
118,15.474007606506348
119,11.758785247802734
120,18.181726455688477
121,7.378566741943359
122,6.960263252258301
123,17.419092178344727
124,16.451616287231445
125,13.701634407043457
126,26.084632873535156
127,22.785873413085938
128,18.539230346679688
129,8.510260581970215
130,15.365233421325684
131,16.806081771850586
132,21.271257400512695
133,14.934033393859863
134,9.058917045593262
135,21.696077346801758
136,10.383294105529785
137,7.609516620635986
138,12.820688247680664
139,8.239351272583008
140,10.687628746032715
141,22.403278350830078
142,18.356565475463867
143,18.012733459472656
144,15.572277069091797
145,17.59432601928711
146,12.786458015441895
147,22.39645004272461
148,16.82329750061035
149,7.4197540283203125
150,17.204959869384766
151,-0.41750451922416687
152,12.521262168884277
153,21.555110931396484
154,8.222965240478516
155,16.81185531616211
156,17.75360870361328
157,21.285478591918945
158,19.2469539642334
159,13.24915599822998
160,18.457666397094727
161,5.702172756195068
162,12.642581939697266
163,5.909388065338135
164,8.016386032104492
165,9.338662147521973
166,18.595781326293945
167,19.54587173461914
168,24.878141403198242
169,19.31871795654297
170,13.225762367248535
171,32.212684631347656
172,10.962911605834961
173,20.3962459564209
174,20.025192260742188
175,16.1589298248291
176,30.465103149414062
177,16.007474899291992
178,15.070372581481934
179,29.36105728149414
180,9.894020080566406
181,8.089377403259277
182,8.16732120513916
183,21.922420501708984
184,14.527217864990234
185,11.159789085388184
186,15.848135948181152
187,6.001914024353027
188,22.056734085083008
189,12.713067054748535
190,31.48261833190918
191,30.421655654907227
192,10.260104179382324
193,17.611745834350586
194,15.548196792602539
195,22.182353973388672
196,12.04666519165039
197,17.272764205932617
198,11.660918235778809
199,9.371891975402832
200,9.620384216308594
201,16.577241897583008
202,28.26799964904785
203,17.06656265258789
204,25.99469757080078
205,14.336503028869629
206,29.381593704223633
207,18.954641342163086
208,24.846078872680664
209,21.32676124572754
210,8.35346508026123
211,19.4978084564209
212,26.367090225219727
213,5.467916488647461
214,20.21416473388672
215,22.273944854736328
216,8.675433158874512
217,15.455496788024902
218,7.061070919036865
219,9.38200569152832
220,9.478809356689453
221,10.617183685302734
222,14.366361618041992
223,16.73173713684082
224,9.471068382263184
225,14.994927406311035
226,11.596407890319824
227,12.856013298034668
228,19.287742614746094
229,7.676453590393066
230,6.800144672393799
231,23.291688919067383
232,15.778900146484375
233,20.081830978393555
234,22.76480484008789
235,11.190194129943848
236,12.145270347595215
237,19.79042625427246
238,25.44931983947754
239,17.122709274291992
240,18.87207794189453
241,25.6923770904541
242,9.88248348236084
243,17.427932739257812
244,8.975366592407227
245,13.943033218383789
246,21.047441482543945
247,11.379016876220703
248,5.665027141571045
249,22.988618850708008
250,18.120067596435547
251,17.913320541381836
252,31.082082748413086
253,31.338041305541992
254,17.234928131103516
255,18.57437515258789
256,19.159046173095703
257,5.039085388183594
258,11.073691368103027
259,15.620637893676758
260,11.14454174041748
261,18.12331771850586
262,17.3005313873291
263,13.998017311096191
264,21.47978401184082
265,12.610883712768555
266,25.151763916015625
267,9.528157234191895
268,26.264488220214844
269,11.624367713928223
270,21.810226440429688
271,12.210959434509277
272,27.551570892333984
273,28.35911750793457
274,16.48954200744629
275,9.430776596069336
276,8.88321304321289
277,1.8999581336975098
278,9.379340171813965
279,15.882658958435059
280,16.31729507446289
281,12.686849594116211
282,21.812458038330078
283,14.136910438537598
284,27.000524520874023
285,11.469120979309082
286,13.185009002685547
287,13.912845611572266
288,16.6862850189209
289,15.558039665222168
290,14.277337074279785
291,23.585508346557617
292,18.756799697875977
293,20.39107894897461
294,21.40284538269043
295,9.10728931427002
296,16.91547203063965
297,11.541213989257812
298,19.985519409179688
299,18.775686264038086
300,13.996793746948242
301,2.108790874481201
302,20.205862045288086
303,18.2854061126709
304,17.146602630615234
305,10.270264625549316
306,13.469364166259766
307,15.301315307617188
308,19.17848014831543
309,19.38147735595703
310,13.36397647857666
311,4.161642551422119
312,29.303606033325195
313,24.40562629699707
314,17.68949317932129
315,19.084644317626953
316,10.68093204498291
317,23.921018600463867
318,25.840864181518555
319,23.7182559967041
320,14.728301048278809
321,15.442544937133789
322,18.501808166503906
323,10.49085521697998
324,7.793208122253418
325,18.55650520324707
326,11.323373794555664
327,18.279544830322266
328,7.159656047821045
329,21.4278507232666
330,20.363454818725586
331,10.104565620422363
332,19.55668830871582
333,6.629520416259766
334,17.377103805541992
335,16.47224998474121
336,19.487443923950195
337,21.91110610961914
338,18.94196319580078
339,26.902008056640625
340,17.346311569213867
341,15.0108060836792
342,15.748798370361328
343,22.690937042236328
344,14.399798393249512
345,21.970083236694336
346,16.10556411743164
347,14.789887428283691
348,13.332072257995605
349,19.016077041625977
350,23.126352310180664
351,9.865488052368164
352,20.961849212646484
353,13.93752670288086
354,27.427724838256836
355,27.301843643188477
356,9.57362174987793
357,14.242188453674316
358,23.1339168548584
359,6.940664291381836
360,15.581509590148926
361,17.971418380737305
362,14.295865058898926
363,13.4705810546875
364,7.70060920715332
365,14.374341011047363
366,23.985109329223633
367,19.416534423828125
368,6.301586151123047
369,9.006803512573242
370,28.484365463256836
371,24.003761291503906
372,15.145212173461914
373,22.070085525512695
374,22.346696853637695
375,21.876245498657227
376,10.511290550231934
377,26.008203506469727
378,26.78815269470215
379,37.05863571166992
380,8.803196907043457
381,21.07151985168457
382,29.68999481201172
383,10.175857543945312
384,20.638671875
385,20.737483978271484
386,15.641108512878418
387,10.418597221374512
388,15.702912330627441
389,9.370978355407715
390,18.833711624145508
391,12.091790199279785
392,16.30884552001953
393,16.654014587402344
394,11.354761123657227
395,17.998735427856445
396,8.478504180908203
397,25.238140106201172
398,10.922167778015137
399,20.024227142333984
400,9.165959358215332
401,16.259389877319336
402,9.68036937713623
403,17.920400619506836
404,18.98966407775879
405,19.57594871520996
406,25.1798038482666
407,17.82318687438965
408,10.543989181518555
409,18.02433967590332
410,28.729406356811523
411,12.655208587646484
412,24.346481323242188
413,23.41733741760254
414,9.259716987609863
415,16.65163230895996
416,15.190191268920898
417,15.736762046813965
418,7.509402751922607
419,6.999778747558594
420,10.17012882232666
421,5.8118085861206055
422,17.369718551635742
423,18.054187774658203
424,13.713329315185547
425,11.871501922607422
426,29.42071533203125
427,23.179405212402344
428,6.196250915527344
429,6.598536968231201
430,12.680541038513184
431,22.60154914855957
432,12.278931617736816
433,13.503814697265625
434,20.723400115966797
435,13.60647964477539
436,20.664596557617188
437,17.14191246032715
438,19.931594848632812
439,12.960925102233887
440,20.20246696472168
441,16.213376998901367
442,18.075223922729492
443,28.436220169067383
444,17.75103187561035
445,25.533891677856445
446,5.248271465301514
447,11.199040412902832
448,6.107679843902588
449,17.15735626220703
450,7.970767498016357
451,13.992064476013184
452,11.97097110748291
453,6.587143898010254
454,21.360422134399414
455,9.046669960021973
456,13.022417068481445
457,9.778718948364258
458,15.274275779724121
459,22.078508377075195
460,6.280639171600342
461,16.789396286010742
462,25.860187530517578
463,18.34250831604004
464,13.34545612335205
465,14.133241653442383
466,5.54698371887207
467,31.096960067749023
468,2.986975908279419
469,13.020880699157715
470,11.934455871582031
471,17.834739685058594
472,16.775575637817383
473,11.756136894226074
474,14.057463645935059
475,20.4371280670166
476,9.651576042175293
477,22.86804962158203
478,15.789129257202148
479,13.49420166015625
480,25.529203414916992
481,21.40360450744629
482,10.634186744689941
483,8.709137916564941
484,17.67096519470215
485,1.1560032367706299
486,18.368789672851562
487,15.334708213806152
488,13.186751365661621
489,16.569114685058594
490,16.380504608154297
491,13.032325744628906
492,15.50339412689209
493,21.918283462524414
494,13.394261360168457
495,24.277328491210938
496,19.375226974487305
497,13.820873260498047
498,21.350189208984375
499,25.09609603881836
500,18.185585021972656
501,16.747678756713867
502,17.687137603759766
503,27.526697158813477
504,23.747535705566406
505,19.342823028564453
506,6.980450630187988
507,13.596543312072754
508,18.426523208618164
509,8.068192481994629
510,12.671502113342285
511,16.133291244506836
512,15.679374694824219
513,13.34985637664795
514,11.40839672088623
515,17.855812072753906
516,21.37301254272461
517,31.564844131469727
518,13.172590255737305
519,12.190901756286621
520,6.238469123840332
521,4.7971649169921875
522,13.006447792053223
523,10.906577110290527
524,13.498871803283691
525,16.616628646850586
526,8.178352355957031
527,12.638728141784668
528,23.926877975463867
529,21.47968292236328
530,28.263002395629883
531,21.986129760742188
532,16.677955627441406
533,20.13581657409668
534,27.35093879699707
535,27.39266586303711
536,29.43846321105957
537,7.104191780090332
538,3.5507137775421143
539,29.81755256652832
540,11.936519622802734
541,15.933640480041504
542,13.888672828674316
543,28.372493743896484
544,17.10663604736328
545,8.841996192932129
546,11.441878318786621
547,24.51887321472168
548,6.228429794311523
549,7.689849853515625
550,25.849811553955078
551,22.83967399597168
552,30.1345157623291
553,23.381404876708984
554,21.679279327392578
555,14.34414291381836
556,21.579654693603516
557,12.057522773742676
558,26.749364852905273
559,19.239713668823242
560,14.395700454711914
561,25.054489135742188
562,18.39325523376465
563,10.558003425598145
564,12.086248397827148
565,3.0079407691955566
566,19.65244483947754
567,10.857377052307129
568,7.831480979919434
569,14.04351806640625
570,19.4639949798584
571,14.674544334411621
572,18.011690139770508
573,4.044509410858154
574,23.359874725341797
575,12.888782501220703
576,9.49220085144043
577,16.88931655883789
578,2.0757405757904053
579,17.73847770690918
580,25.555356979370117
581,21.2573299407959
582,26.617168426513672
583,10.969975471496582
584,12.73953628540039
585,20.49225616455078
586,17.053205490112305
